Project Name,Package Name,Type Name,Code Smell
TinkersConstructRefactor,slimeknights.tconstruct.common,SoundUtils,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,Multifaceted Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common,Blocks,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common,Blocks,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common,Items,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common,Items,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common,Fluids,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common,Fluids,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common,EntityTypes,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common,EntityTypes,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common,TileEntityTypes,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common,TileEntityTypes,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common,Biomes,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common,Biomes,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common,Modifiers,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common,Modifiers,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common,Materials,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common,Materials,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common.config,ConfigurableAction,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.data,BaseRecipeProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.data,CountRequirementsStrategy,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.data,TinkerRegistrySets,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.data,TinkerRegistrySets,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common.data.loot,AdvancementLootTableProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.data.loot,BlockLootTableProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.data.loot,TConstructLootTableProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,BiomeTagProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,BlockEntityTypeTagProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,BlockTagProvider,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,EnchantmentTagProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,EntityTypeTagProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,FluidTagProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,ItemTagProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,MaterialTagProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,ModifierTagProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.json,BlockOrEntityCondition,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common.json,BlockOrEntityCondition,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common.json,ConditionSerializer,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.json,ConfigEnabledCondition,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common.json,ConfigEnabledCondition,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common.json,ConfigSerializer,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common.json,TinkerConditons,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common.multiblock,IMasterLogic,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common.multiblock,IServantLogic,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common.multiblock,ServantTileEntity,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.network,InventorySlotSyncPacket,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.common.network,InventorySlotSyncPacket,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common.network,HandleClient,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common.network,SyncPersistentDataPacket,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common.network,HandleClient,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.network,TinkerNetwork,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common.network,TinkerNetwork,Hub-like Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common.network,HandleClient,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.common.recipe,RecipeCacheInvalidator,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.common.registration,GeodeItemObject,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.datafix.schemas,HephaestusSchema,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.datafix.schemas,Tinkers3Schema,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct,FabricEvents,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct,StarSodiumFixer,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct,TConstruct,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct,TConstruct,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct,TConstructData,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.fluids,FluidEvents,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.fluids,FluidTooltipProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.fluids,TinkerFluids,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.fluids,TinkerFluids,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,DirectionalSlimeFluid,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,Flowing,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,Source,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,PotionFluidAttributes,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,Builder,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,SlimeFluid,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,Flowing,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.fluids.fluids,Source,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.fluids.item,BottleItem,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.fluids.item,ContainerFoodItem,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.fluids.item,FluidContainerFoodItem,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.fluids.item,EmptyPotionTransfer,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.fluids.item,PotionBucketItem,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.fluids.item,PotionBucketWrapper,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.fluids.util,BottleBrewingRecipe,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.fluids.util,ConstantFluidContainerWrapper,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.block,DropperRailBlock,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.block,FoodCakeBlock,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.block,PunjiBlock,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.capability,PiggybackCapability,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.capability,PiggybackHandler,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.client,FancyItemFrameRenderer,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.client,RenderShuriken,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.data,GadgetRecipeProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.entity.shuriken,FlintShurikenEntity,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.entity.shuriken,QuartzShurikenEntity,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets,Exploder,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.gadgets,TinkerGadgets,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item,EflnBallItem,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item,FancyItemFrameItem,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item,GlowBallItem,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item,PiggyBackPackItem,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item,CarryPotionEffect,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item,ShurikenItem,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item.slimesling,BaseSlimeSlingItem,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item.slimesling,EarthSlimeSlingItem,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item.slimesling,EarthSlimeSlingItem,Broken Hierarchy
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item.slimesling,EnderSlimeSlingItem,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item.slimesling,EnderSlimeSlingItem,Broken Hierarchy
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item.slimesling,IchorSlimeSlingItem,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item.slimesling,IchorSlimeSlingItem,Broken Hierarchy
TinkersConstructRefactor,slimeknights.tconstruct.gadgets.item.slimesling,SkySlimeSlingItem,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,AbstractMaterialContent,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,ContentListingCentered,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,ContentMaterial,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,ContentMaterialSkull,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,ContentMaterialSkull,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,ContentModifier,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,ContentPageIconList,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,ContentTool,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,Fallback,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,RangedMaterialContent,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.content,RangedMaterialContent,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.elements,CycleRecipeElement,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.elements,ListingCenteredElement,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.elements,PageIconLinkElement,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.elements,PageIconLinkElement,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.elements,TinkerItemElement,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book,TinkerBook,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer.materials,MaterialSectionTransformer,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer.materials,MaterialSectionTransformer,Broken Hierarchy
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer.materials,SkullMaterialSectionTransformer,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer.materials,SkullMaterialSectionTransformer,Broken Hierarchy
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer.materials,TieredMaterialSectionTransformer,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer.materials,TieredMaterialSectionTransformer,Broken Hierarchy
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer.materials,TierRangeMaterialSectionTransformer,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer,ModifierSectionTransformer,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.library.client.book.sectiontransformer,ToolSectionTransformer,Deficient Encapsulation
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data,AbstractFluidTooltipProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data,GenericTextureGenerator,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data,TinkerSpriteSourceGenerator,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,AbstractMaterialRenderInfoProvider,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,AbstractMaterialSpriteProvider,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,MaterialSpriteInfo,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,MaterialSpriteInfoBuilder,Unutilized Abstraction
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,AbstractPartSpriteProvider,Cyclic-Dependent Modularization
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,AbstractPartSpriteProvider,Insufficient Modularization
TinkersConstructRefactor,slimeknights.tconstruct.library.client.data.material,ToolSpriteBuilder,Cyclic-Dependent Modularization
