Project Name,Package Name,Type Name,Method Name,Code Smell
TinkersConstructRefactor,slimeknights.tconstruct.common,SoundUtils,playSoundForPlayer,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerEffect,TinkerEffect,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,TinkerModule,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,metalBuilder,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,glassBuilder,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,glassBuilder,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,woodBuilder,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,woodBuilder,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,buildGeneralTab,Long Method
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,buildWorldTab,Complex Method
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,buildWorldTab,Long Method
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,buildSmelteryTab,Long Method
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,init,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,init,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,init,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,init,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,init,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,init,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,init,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Long Identifier
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Client,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,OreRate,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,OreRate,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,OreRate,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,OreRate,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,Common,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Long Identifier
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,Client,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,OreRate,OreRate,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,OreRate,OreRate,Long Statement
TinkersConstructRefactor,slimeknights.tconstruct.common.config,OreRate,OreRate,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,OreRate,OreRate,Magic Number
TinkersConstructRefactor,slimeknights.tconstruct.common.config,ConfigurableAction,ConfigurableAction,Long Parameter List
TinkersConstructRefactor,slimeknights.tconstruct.common.data,AdvancementsProvider,generate,Long Method
