Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
TinkersConstructRefactor,slimeknights.tconstruct.common,ClientEventBase,registerBlockItemColorAlias,5,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,ClientEventBase,registerBlockItemColorAlias,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,ClientEventBase,registerBlockItemColorAlias,5,2,1
TinkersConstructRefactor,slimeknights.tconstruct.common,SoundUtils,playSoundForAll,3,1,4
TinkersConstructRefactor,slimeknights.tconstruct.common,SoundUtils,playSoundForPlayer,5,2,4
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerEffect,TinkerEffect,3,1,2
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerEffect,TinkerEffect,4,1,3
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerEffect,getRenderer,11,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerEffect,isVisibleInInventory,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerEffect,isVisibleInGui,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerEffect,apply,3,1,2
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerEffect,apply,3,1,3
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerEffect,apply,5,1,4
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerEffect,getLevel,7,2,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,TinkerModule,3,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,initRegisters,18,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,builder,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,builder,3,1,2
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,metalBuilder,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,glassBuilder,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,woodBuilder,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,resource,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,createKey,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,buildGeneralTab,111,1,2
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,buildGadgetTab,12,1,2
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,buildWorldTab,127,12,2
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,buildSmelteryTab,9,1,2
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,addBasicItems,4,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,addSearedItems,4,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,addScorchedItems,4,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,addTanks,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,addControllers,4,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,addMiscellaneousItems,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,addCasts,4,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,acceptAll,5,2,2
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,fillItemCategory,5,2,2
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,init,15,2,0
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,init,10,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,forgeTag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,forgeTag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,forgeTag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,forgeTag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,Blocks,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,Blocks,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,Blocks,forgeTag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,Items,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,Items,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,Items,forgeTag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,Fluids,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,Fluids,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,Fluids,forgeTag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,EntityTypes,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,EntityTypes,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,EntityTypes,forgeTag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TileEntityTypes,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,TileEntityTypes,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,Biomes,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,Biomes,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,Modifiers,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,Modifiers,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,Materials,init,2,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,Materials,tag,3,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,Common,67,2,1
