Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
TinkersConstructRefactor,slimeknights.tconstruct.common,ClientEventBase,0,0,3,0,30,4,0,0,-1.0,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,SoundUtils,0,0,2,2,24,3,0,0,-1.0,2,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerEffect,1,0,9,9,71,10,0,0,0.3333333333333333,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerModule,21,0,8,1,88,8,0,0,0.625,2,5
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTabs,6,6,15,5,339,29,0,0,1.0,4,13
TinkersConstructRefactor,slimeknights.tconstruct.common,TinkerTags,212,212,21,3,736,21,0,0,1.0,150,11
TinkersConstructRefactor,slimeknights.tconstruct.common,Blocks,62,62,3,1,207,3,0,0,1.0,16,1
TinkersConstructRefactor,slimeknights.tconstruct.common,Items,110,110,3,1,351,3,0,0,1.0,24,1
TinkersConstructRefactor,slimeknights.tconstruct.common,Fluids,15,15,3,0,49,3,0,0,1.0,4,1
TinkersConstructRefactor,slimeknights.tconstruct.common,EntityTypes,13,13,3,0,41,3,0,0,1.0,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,TileEntityTypes,1,1,2,0,8,2,0,0,1.0,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,Biomes,5,5,2,0,27,2,0,0,1.0,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common,Modifiers,5,5,2,0,27,2,0,0,1.0,1,2
TinkersConstructRefactor,slimeknights.tconstruct.common,Materials,1,1,2,0,11,2,0,0,1.0,1,2
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Config,52,50,5,3,190,6,0,0,1.0,42,5
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Common,32,32,1,0,104,2,0,0,0.0,1,1
TinkersConstructRefactor,slimeknights.tconstruct.common.config,Client,14,14,1,0,49,1,0,0,0.0,1,0
TinkersConstructRefactor,slimeknights.tconstruct.common.config,OreRate,2,0,2,2,14,2,0,0,1.0,2,0
TinkersConstructRefactor,slimeknights.tconstruct.common.config,ConfigurableAction,2,0,2,2,16,3,0,0,0.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.common.data,AdvancementsProvider,2,0,14,3,375,18,0,0,0.5714285714285714,1,23
TinkersConstructRefactor,slimeknights.tconstruct.common.data,BaseRecipeProvider,0,0,4,4,14,4,0,0,-1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.common.data,CountRequirementsStrategy,1,0,2,2,19,4,0,0,0.0,0,0
TinkersConstructRefactor,slimeknights.tconstruct.common.data,TinkerRegistrySets,1,1,2,2,9,2,0,0,0.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.common.data.loot,AdvancementLootTableProvider,0,0,1,1,5,1,0,0,-1.0,0,2
TinkersConstructRefactor,slimeknights.tconstruct.common.data.loot,BlockLootTableProvider,4,0,21,1,233,26,0,0,0.38095238095238093,0,12
TinkersConstructRefactor,slimeknights.tconstruct.common.data.loot,EntityLootTableProvider,0,0,4,2,16,4,0,0,-1.0,1,4
TinkersConstructRefactor,slimeknights.tconstruct.common.data.loot,GlobalLootModifiersProvider,0,0,4,1,42,7,0,0,-1.0,1,13
TinkersConstructRefactor,slimeknights.tconstruct.common.data.loot,TConstructLootTableProvider,0,0,3,2,15,3,0,0,-1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,BiomeTagProvider,0,0,4,3,18,4,0,0,-1.0,0,1
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,BlockEntityTypeTagProvider,0,0,3,2,11,3,0,0,-1.0,0,3
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,BlockTagProvider,0,0,22,3,350,40,0,0,-1.0,2,11
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,EnchantmentTagProvider,0,0,4,2,38,5,0,0,-1.0,0,4
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,EntityTypeTagProvider,0,0,4,3,26,4,0,0,-1.0,0,2
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,FluidTagProvider,0,0,5,3,98,5,0,0,-1.0,0,2
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,ItemTagProvider,0,0,12,3,265,16,0,0,-1.0,0,13
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,MaterialTagProvider,0,0,3,2,11,3,0,0,-1.0,0,3
TinkersConstructRefactor,slimeknights.tconstruct.common.data.tags,ModifierTagProvider,0,0,3,2,15,3,0,0,-1.0,0,4
TinkersConstructRefactor,slimeknights.tconstruct.common.json,BlockOrEntityCondition,1,1,4,4,16,4,0,0,1.0,4,2
TinkersConstructRefactor,slimeknights.tconstruct.common.json,ConditionSerializer,0,0,2,2,7,2,0,0,-1.0,0,1
